розділ;стара адреса;заголовок;слів;нова адреса;впевненість;коментар
information;/index.php?route=information/information&information_id=107;МАЙСТЕР-КЛАСИ ПО СОЇ;320;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=108;XI Міжнародна конференція «Успішне садівництво, овочівництво і переробка: технології та ін;247;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=109;Міжнародний практичний форум «ІНТЕНСИВНЕ САДІВНИЦТВО: зерняткові й кісточкові»;352;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=110;Цукрова конференція SUGAR WORLD;336;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=111;Міжнародна конференція «Успішне садівництво і переробка: Кісточкові. Зерняткові. Горіхоплі;254;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=112;Агрономічний тренінг;279;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=113;Мідь у захисті зернових культур: чому Нордокс 75 WG — це ваш найкращий вибір для успішного;793;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=114;Мідна броня озимих: Nordox 75 WG як стратегічний щит проти хвороб і резистентності;1057;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=115;Препарати Нордокс в захисті та живленні картоплі;878;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=117;Хто формує врожай цукрових буряків завтра, той вже на Sugar World 2026;318;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=123;Мідь у технологіях вирощування цукрових буряків як недооцінений інструмент підвищення приб;308;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=124;Квітень не вибачає прогалин: захист і живлення озимої пшениці та ріпаку без помилок;1522;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=126;Cередина травня на зернових: на що дивитися в полі і як вибудувати захист та живлення без ;649;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=127;Червневі рішення для зернових та олійних культур: де потрібен захист, а де живлення;882;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=128;Чому перший обробіток вирішує долю поля;904;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=130;VERNO CaB для кісточкових культур: кальцій і бор, які працюють на якість плоду;993;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=36;"Компанія ""Родоніт"" у студії AgroFM";507;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=39;ДЕСТРУКТОРИ СТЕРНІ. ЯКИЙ КРАЩЕ ВИБРАТИ? ДЕСТРУКТОР ЧИ ГУМІФІКАТОР, ЩО КРАЩЕ ВИБРАТИ?;963;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=4;Про компанію;414;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=6;3E;298;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=76;СТОВБУР ПАСЛЬОНОВИХ. ЩО РОБИТИ?;745;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=77;Компанія Родоніт на садівничому Форумі BRIDGES у Львові;233;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=78;Живлення, захист, профілактика хвороб;911;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=79;Урожайність - вище, смак - солодший;316;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=80;"2 вересня 2021 року (м. Ірпінь, Конференц-Хол ""ІРПІНЬ"") відбувся Всеукраїнський Горіховий ";387;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=81;"3 вересня – бізнестур на провідне горіхове господарство регіону – ТОВ ""Горіх Полісся"".";253;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=82;Садівники скептично ставляться до обприскування саду восени;688;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=83;4 листопада 2021 року відбувся вебінар «Пути к стабильному производству максимальных урожа;336;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=84;Підтягування пізніх озимих посівів;370;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=85;﻿Фітолавін для орхідей: дозування, варіанти використання;582;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=86;9 грудня відбулася V Міжнародна науково-практична конференція «Ягідництво і переробка: тех;319;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=87;10 грудня 2021 року учасники конференції вирушили у бізнес-тур;224;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=88;25 січня відбулося навчанням менеджерів компанії Сервіс-Агрозахід;193;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=89;"27-28 січня 2022 р. відбувся Міжнародний практичний форум «Інтенсивний Сад». ""Інтенсивний ";283;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=90;Вихід із зими озимих культур. Поради від компанії «Родоніт Агро»;817;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=91;Кореневі гнилі озимих культур. Як їх розпізнати та попередити?;585;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=92;Вихід садових культур із зими. Особливості обробки саду від компанії «Родоніт»;1591;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=93;15-17 лютого 2022 року у Міжнародному Виставковковому Центрі (МВЦ), м. Київ, відбулася вис;223;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=94;Форум «ІНТЕНСИВНИЙ САД». Виступ спікера Олега Дубини;179;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=95;29-30 вересня 2022 р. відбулася конференція «Садівництво, ягідництво, овочівництво в умова;255;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=96;"15-16 грудня 2022 р. відбулася конференція ""Виноградство та виноробство України в умовах в";270;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=97;16-17 лютого 2023 р. відбудеться конференція «Ягідництво і переробка в умовах воєнного ста;241;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=98;ЗАОЩАДИТИ, але розумно — поради фахівців щодо весняної обробки саду та винограднику;1415;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=99;1–2 червня 2023 р. у м. Кам’янець-Подільський відбулася ІV міжнародна конференція. Кісточк;254;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk;Про компанію;450;/about;точний;
information;/uk/20-rokiv-uspihu;20 років успіху;851;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/albit-is-a-universal-antidote;Альбіт - універсальний антидот. Соя;556;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/alhimiya-sterni-abo-yak-peretvoriti-roslinni-reShtki-v-zoloto;Алхімія стерні, або як перетворити рослинні рештки в золото?;857;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/chomu-yagodi-dribniyut-temniyut-i-gniyut-prichini-ta-efektivne-rishennya-dlya-yagidnika;Чому ягоди дрібніють, темніють і гниють: причини та ефективне рішення для ягідника;453;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/contacts;Контакти;238;/contacts;точний;
information;/uk/ctimulyator-rostu-dlya-kimnatnih-roslin;Cтимулятор росту для кімнатних рослин;859;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/dlya-gidrolipu-nemaye-poganoyi-pogodi;ДЛЯ ГІДРОЛИПУ - НЕМАЄ ПОГАНОЇ ПОГОДИ!;707;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/doshchi-y-teplo-vse-shcho-potribno-bakteriozam;Дощі й тепло - все що потрібно бактеріозам;542;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/fitolavin-rk-nadijnij-zahist-proti-bakterial-nih-hvorob-ovochevih-kul-tur;Фітолавін РК - надійний захист проти бактеріальних хвороб овочевих культур;566;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/fundament-majbutn-ogo-urozhayu-peredposivna-obrobka-nasinnya-ozimih;Фундамент майбутнього урожаю – передпосівна обробка насіння озимих;650;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/gidrolip-universal-nij-biologichnij-prilipach;Гідролип - універсальний біологічний прилипач;553;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/hvorobi-hvojnih-roslin-ta-efektivna-borot-ba-z-nimi;Хвороби хвойних рослин та ефективна боротьба з ними;570;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/infoteck;Інфотека;306;/blog;точний;
information;/uk/kompaniya-rodonit-na-fresh-business-expo;"Компанія ""Родоніт"" на Fresh Business Expo";263;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/kompaniya-rodonit-na-vistavtsi-agro-sow-v-cherkasah;"Компанія ""Родоніт"" на виставці Agro Sow в Черкасах";270;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/kompaniya-rodonit-na-vistavtsi-agroport-west-lviv-2018;"Компанія ""Родоніт"" на виставці AGROPORT West Lviv 2018";274;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/kukurudza-sonyashnik-i-soya-ne-lyublyat-koli-yih-goduyut-na-oko;Кукурудза, соняшник і соя не люблять, коли їх годують “на око”.;483;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/mify-i-fakty-pro-rokladannia-roslynnykh-zalyshkiv;Міфи і факти про рокладання рослинних залишків;926;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/mira-lyp-yak-efektyvno-vyvesty-posivy-zi-stresu;МІРА ЛИП: ЯК ЕФЕКТИВНО ВИВЕСТИ ПОСІВИ ЗІ СТРЕСУ;671;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/nano-dobriva-novogo-pokolinnya-yak-verno-cuzn-ta-verno-cab-vid-nordox-roblyat-vashi-polya-rozumnishimi;Нано-добрива нового покоління: як Verno CuZn та Verno CaB від Nordox роблять ваші поля роз;683;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/novi-preparaty-serii-mira-na-osnovi-hidroheliu;"Нові препарати серії ""Міра"" на основі гідрогелю";505;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/novi-produkti-dlya-agrarnogo-rinku-novi-mozhlivosti;Нові продукти для аграрного ринку – нові можливості;684;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/novosti;Новини;268;/blog/category/novyny;точний;
information;/uk/peredposivna-obrobka-nasinnya-garantiya-visokogo-vrozhayu;ПЕРЕДПОСІВНА ОБРОБКА НАСІННЯ - ГАРАНТІЯ ВИСОКОГО ВРОЖАЮ;974;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/peremozhets-stovbura-fitoplazmin-vrk;Переможець стовбура - Фітоплазмін, ВРК.;672;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/perspektyvnyi-pidkhid-do-kontroliu-nad-khvorobamy-roslyn;Перспективний підхід до контролю над хворобами рослин та зміцнення фітоімунітету;1014;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/pidvyshchennya-efektyvnosti-vykorystannya-mineralnykh-dobryv-rannikh-obrobok-ozymykh;ПІДВИЩЕННЯ ЕФЕКТИВНОСТІ ВИКОРИСТАННЯ МІНЕРАЛЬНИХ ДОБРИВ (ранніх обробок озимих);919;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/podyaka-parteram;Подяка партерам!;315;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/preparati-seriyi-mira-na-osnovi-gidrogelya;ПРЕПАРАТИ СЕРІЇ «МІРА» НА ОСНОВІ ГІДРОГЕЛЯ;894;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/prybutok-prykhovanyi-na-vashomu-poli;Прибуток, прихований на вашому полі!;904;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/rannij-start-zahistu-ozimih-chomu-varto-dati-chervonij-shchit-nordoks-uzhe-po-pershih-listkah;Ранній старт захисту озимих: чому варто дати “червоний щит” НОРДОКС уже по перших листках;486;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/sad-osinnij-zberigaj-bude-shchedrim-urozhaj;Сад осінній зберігай - буде щедрим урожай!;570;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/sadivniki-skeptichno-stavlyat-sya-do-obpriskuvannya-sadu-voseni;Садівники скептично ставляться до обприскування саду восени;738;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/seredina-travnya-dlya-zernovih-kul-tur;Середина травня для зернових культур;168;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/sriblo-na-varti-vrozhayu;Срібло на варті врожаю!;840;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/sriblo-na-zakhysti-zdorovoho-vrozhaiu;Срібло на захисті здорового врожаю;792;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/tehnologiya-zastosuvannya-lignogumatu-na-grechtsi-prosi;Технологія застосування Лігногумату на гречці, просі;326;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/tehnologiya-zastosuvannya-lignogumatu-na-ozimih-i-yarih-zernovih-kul-turah;Технологія застосування Лігногумату на озимих і ярих зернових культурах;376;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/tehnologiya-zastosuvannya-lignogumatu-na-zernobobovih;Технологія застосування Лігногумату на зернобобових;363;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/tekhnolohiia-try-e-pravyla-pidzhyvlennia-ozymykh-pislia-perezymivli;Технологія «ТРИ-Е». Правила підживлення озимих після перезимівлі.;960;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/tekhnolohiia-zastosuvannia-lihnohumatu-na-kukurudzi;Технологія застосування Лігногумату на кукурудзі;388;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/tekhnolohiia-zastosuvannia-lihnohumatu-na-plodovykh;Технологія застосування Лігногумату на плодових;720;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/tekhnolohiia-zastosuvannia-lihnohumatu-na-soniashnyku;Технологія застосування Лігногумату на соняшнику;364;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/tradytsiini-ta-innovatsiini-tekhnolohii-rozkladannia-roslynnykh-reshtok;Традиційні та інноваційні технології розкладання рослинних решток;857;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/tsinuite-te-shcho-maiete-orhano-mineralne-dobryvo-z-pozhnyvnykh-reshtok;Цінуйте те, що маєте! Органо-мінеральне добриво з пожнивних решток;656;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/vesnyani-obrobki-kul-tur-zaporuka-vrozhayu;Весняні обробки культур - запорука врожаю;443;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/vesnyani-zahodi-v-osnovi-visokogo-vrozhayu;Весняні заходи в основі високого врожаю;848;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/vesnyanij-start-ozimih-yak-nordoks-75-wg-ta-verno-cuzn-znimayut-stres-i-hvorobi;Весняний старт озимих: як Нордокс 75 WG та Verno CuZn знімають стрес і хвороби;920;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/vidnovlennya-po-rozkladu;ВІДНОВЛЕННЯ ПО РОЗКЛАДУ;1315;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/vnosymo-sriblo-otrymuiem-zoloto;ВНОСИМО СРІБЛО - ОТРИМУЄМО ЗОЛОТО!;685;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/yak-vybraty-stymuliator-rostu-dlia-khvoinykh-roslyn;Як вибрати стимулятор росту для хвойних рослин?;691;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/zakhystyty-i-zaoshchadyty-ratsionalnyi-pidkhid-do-zakhystu-roslyn;Захистити і заощадити: раціональний підхід до захисту рослин;568;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/uk/zerebra-ahro-te-choho-vam-ne-vystachalo-dlia-vysokykh-vrozhaiv;Зеребра® Агро - те, чого вам не вистачало для високих врожаїв!;839;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
problem;/uk/bakterialnyiy-ozhog;Бактеріальний опік;476;/rishennia;розділ;проблеми немає в новому сайті
problem;/uk/bakterioz;Бактеріози;682;/rishennia;розділ;проблеми немає в новому сайті
problem;/uk/chrezmernaya-vlazhnost;Надмірна вологість;517;/rishennia;розділ;проблеми немає в новому сайті
problem;/uk/dezinfektsiya;Дезінфекція;498;/rishennia;розділ;проблеми немає в новому сайті
problem;/uk/gerbetsidnyiy-stress;Гербіцидний стрес;556;/rishennia;розділ;проблеми немає в новому сайті
problem;/uk/gradoboy;Градобій;381;/rishennia;розділ;проблеми немає в новому сайті
problem;/uk/problem;Вирішення проблем;191;/rishennia;точний;
problem;/uk/rastreskivaniya-struchkov;Розтріскування стручків;428;/rishennia/roztriskuvannia-struchkiv;точний;
problem;/uk/slabaya-kornevaya-sistema;Cлабка коренева система;543;/rishennia;розділ;проблеми немає в новому сайті
problem;/uk/upravlenie-rastitelnyimi-ostatkami;Управління рослинними рештками;511;/rishennia;розділ;проблеми немає в новому сайті
problem;/uk/usilenie-deystviya-pestitsidov-i-udobreniy;Посилення дії ЗЗР і добрив;635;/rishennia/posylennia-dii-zzr;точний;
problem;/uk/vesennie-zamorozki;Весняні заморозки;618;/rishennia;розділ;проблеми немає в новому сайті
problem;/uk/virusnyie-zabolevaniya;Вірусні захворювання;684;/rishennia;розділ;проблеми немає в новому сайті
problem;/uk/vyihod-iz-zimyi;Вихід із зими;547;/rishennia;розділ;проблеми немає в новому сайті
problem;/uk/zasuha;Посуха;467;/rishennia;розділ;проблеми немає в новому сайті
product;/index.php?route=product/product&product_id=56;Міра, РК;515;/preparaty/mira-rk;точний;
product;/index.php?route=product/product&product_id=57;Гідролип;690;/preparaty/hydrolip;точний;
product;/index.php?route=product/product&product_id=58;Міра ЛИП;577;/preparaty;розділ;препарату немає в новому портфелі
product;/index.php?route=product/product&product_id=61;"Ризобакт ""Гуміфікатор""";706;/preparaty;розділ;препарату немає в новому портфелі
product;/index.php?route=product/product&product_id=63;Лігногумат;687;/preparaty/mira-rk;точний;
product;/index.php?route=product/product&product_id=83;Верно FG Cu30 + Zn30;755;/preparaty/verno-fg;точний;
product;/index.php?route=product/product&product_id=84;НОРДОКС 75 WG — концентрована мідь, яка працює на захист і результат (Nordox 75, WG);1378;/preparaty/nordoks;точний;
product;/index.php?route=product/product&product_id=85;Верно СаВ — корекція кальцію й бору, яка реально працює;1460;/preparaty/verno-sav;точний;
product;/uk/mira-life-s1;MIRA LIFE S1;551;/preparaty;розділ;препарату немає в новому портфелі
product;/uk/mira-life-s2;MIRA LIFE S2;509;/preparaty;розділ;препарату немає в новому портфелі
product;/uk/zerebra-agro;Зеребра Агро;705;/preparaty/silver-mix;точний;
result;/uk/primenenie-na-goroxe;Застосування препаратів на горосі;431;/kultury/horokh;близький;сторінка результатів → сторінка культури
result;/uk/primenenie-na-kapuste;Застосування препаратів на капусті;389;/kultury/kapusta;близький;сторінка результатів → сторінка культури
result;/uk/primenenie-na-kartofele;Застосування препаратів на картоплі;511;/kultury/kartoplia;близький;сторінка результатів → сторінка культури
result;/uk/primenenie-na-kukuruze;Застосування препаратів на кукурудзі;349;/kultury/kukurudza;близький;сторінка результатів → сторінка культури
result;/uk/primenenie-na-luke;Застосування препаратів на цибулі;291;/kultury/tsybulia;близький;сторінка результатів → сторінка культури
result;/uk/primenenie-na-morkovi;Застосування препаратів на моркві;281;/kultury;розділ;культури немає в новому сайті
result;/uk/primenenie-na-ogurce;Застосування препаратів на огірку;359;/kultury/ohirok;близький;сторінка результатів → сторінка культури
result;/uk/primenenie-na-podsolnuxe;Застосування препаратів на соняшнику;310;/kultury/soniashnyk;близький;сторінка результатів → сторінка культури
result;/uk/primenenie-na-rapse;Застосування препаратів на рапсі;381;/kultury/ripak;близький;сторінка результатів → сторінка культури
result;/uk/primenenie-na-saxarnoj-svekle;Застосування препаратів на цукровому буряку;243;/kultury/buriak-tsukrovyi;близький;сторінка результатів → сторінка культури
result;/uk/primenenie-na-tomate;Застосування препаратів на томаті;427;/kultury/tomat;близький;сторінка результатів → сторінка культури
result;/uk/primenenie-na-vinograde;Застосування препаратів на винограді;478;/kultury/vynohrad;близький;сторінка результатів → сторінка культури
result;/uk/primenenie-na-yabloke;Застосування препаратів на плодових;287;/kultury/zerniatkovi;близький;сторінка результатів → сторінка культури
result;/uk/primenenie-na-zernovyx-kulturax;Застосування препаратів на зернових культурах;537;/kultury/zernovi-kultury;близький;сторінка результатів → сторінка культури
result;/uk/priminenie-na-soye;Застосування препаратів на сої;469;/kultury/soia;близький;сторінка результатів → сторінка культури
result;/uk/primineniye-na-stolovoi-svekle;Застосування препаратів на столовому буряку;297;/kultury;розділ;культури немає в новому сайті
result;/uk/result;Результати застосування;229;/kultury;точний;
